,full_address,neighborhood,nid,sale_price,prediction,difference,pred_percent,shap
0,"618 48th Ave, San Francisco, CA 94121-2410",1 - Outer Richmond,1050,3310000,3306051,-3948,-0.0011941739555741881,Pros - 1: comp_price = 3605916 2: year_sold = 2018   Cons - 1: nid = 1050 2: rooms = 8.0 
1,"1516 Great Highway, San Francisco, CA 94122",2 - Outer Sunset,2030,1830000,1614575,-215424,-0.13342458541721505,Pros - 1: year_sold = 2018 2: baths = 3.0   Cons - 1: comp_price = 1458096 2: nid = 2030 
2,"1492 La Playa St, San Francisco, CA 94122",2 - Outer Sunset,2030,1300000,1090913,-209086,-0.1916614798796971,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 925318 2: lot_sf = 1245.0 
3,"784 48th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1300000,1493652,193652,0.12965001218489983,Pros - 1: year_sold = 2018 2: latitude = 37.77368   Cons - 1: comp_price = 1370409 2: nid = 1050 
4,"525 47th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1865000,1732993,-132006,-0.07617226382333916,Pros - 1: year_sold = 2018 2: latitude = 37.778465000000004   Cons - 1: nid = 1050 2: longitude = -122.50827 
5,"5601 Anza St, San Francisco, CA 94121",1 - Outer Richmond,1050,3200000,2370116,-829883,-0.3501444655029543,Pros - 1: comp_price = 2405992 2: year_sold = 2018   Cons - 1: rooms = 9.5 2: nid = 1050 
6,"1878 Great Highway, San Francisco, CA 94122",2 - Outer Sunset,2030,1900000,1130147,-769852,-0.6811963399451576,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1030875 2: baths = 1.0 
7,"1327 48th Ave, San Francisco, CA 94122",2 - Outer Sunset,2030,1200000,1261478,61478,0.04873489668468257,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1064972 2: baths = 1.0 
8,"618 47th Ave, San Francisco, CA 94121",1 - Outer Richmond,1050,1711400,1893817,182417,0.09632240073882535,Pros - 1: year_sold = 2018 2: latitude = 37.776707   Cons - 1: nid = 1050 2: longitude = -122.508125 
9,"27 Alta Mar Way, San Francisco, CA 94121",1 - Outer Richmond,1050,1750000,1790398,40398,0.02256369812745546,Pros - 1: year_sold = 2018 2: latitude = 37.78049   Cons - 1: nid = 1050 2: lot_sf = 1999.0 
10,"5529 Anza St, San Francisco, CA 94121",1 - Outer Richmond,1050,3040000,3673148,633148,0.17237203619347763,Pros - 1: comp_price = 4439359 2: year_sold = 2018   Cons - 1: nid = 1050 2: longitude = -122.50743 
11,"2029-2029 B 48th Ave, San Francisco, CA 94116",2 - Outer Parkside,2020,1080000,1297539,217539,0.16765507626360363,Pros - 1: year_sold = 2018 2: park_leased = ONST   Cons - 1: comp_price = 1253978 2: lot_sf = 1500.0 
